step,x_pixel,y_pixel
0,62,192
1,67,192
2,67,187
3,72,187
4,72,182
5,77,182
6,82,182
7,87,182
8,92,182
9,97,182
10,102,182
11,102,177
12,107,177
13,112,177
14,112,172
15,117,172
16,117,167
17,122,167
18,122,162
19,122,157
20,127,157
21,127,152
22,127,147
23,127,142
24,127,137
25,127,132
26,127,127
27,127,122
28,127,117
29,127,112
30,127,107
31,127,102
32,127,97
33,127,92
34,127,87
35,127,82
36,127,77
37,127,72
38,127,67
39,127,62
40,127,57
41,127,52
42,127,47
43,127,42
44,127,37
45,127,32
46,127,27
47,127,22
48,132,22
