epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.7568,1.38903,2.61823,1.34431,0.66836,0.56342,0.66081,0.40723,1.43931,1.78311,1.38206,0.000276873,0.000276873,0.000276873
2,149.947,1.37442,1.77289,1.30747,0.77232,0.55382,0.69843,0.42648,1.41504,1.656,1.40051,0.00054356,0.00054356,0.00054356
3,223.649,1.36555,1.45932,1.29409,0.81194,0.5914,0.75157,0.4488,1.40616,1.36615,1.37473,0.000799251,0.000799251,0.000799251
4,294.306,1.36095,1.30159,1.28955,0.77755,0.68648,0.79048,0.47897,1.39927,1.08971,1.36995,0.00078352,0.00078352,0.00078352
5,364.125,1.35279,1.18661,1.28497,0.81764,0.76036,0.85311,0.51684,1.38624,0.96535,1.35882,0.000767026,0.000767026,0.000767026
6,433.934,1.32173,1.09119,1.27343,0.78486,0.681,0.78755,0.47236,1.43459,1.0939,1.38233,0.000750533,0.000750533,0.000750533
7,503.797,1.31557,1.04626,1.26601,0.83283,0.77395,0.87541,0.5375,1.3536,0.87328,1.35331,0.00073404,0.00073404,0.00073404
8,573.731,1.31451,1.02385,1.26687,0.83749,0.73633,0.86097,0.52699,1.37037,0.88776,1.35525,0.000717546,0.000717546,0.000717546
9,643.399,1.30665,0.99871,1.26342,0.84701,0.74294,0.85552,0.53072,1.35564,0.88086,1.3286,0.000701053,0.000701053,0.000701053
10,713.265,1.30198,0.97252,1.25991,0.81391,0.79431,0.88715,0.54536,1.36614,0.82908,1.33559,0.000684559,0.000684559,0.000684559
11,782.827,1.30477,0.95222,1.27078,0.88944,0.80222,0.89607,0.54224,1.36339,0.81047,1.34633,0.000668066,0.000668066,0.000668066
12,852.658,1.2924,0.92882,1.2629,0.86857,0.78356,0.89832,0.55416,1.35108,0.77027,1.34619,0.000651573,0.000651573,0.000651573
13,922.383,1.28743,0.914,1.24996,0.85117,0.80044,0.88439,0.54039,1.38065,0.80653,1.3491,0.000635079,0.000635079,0.000635079
14,992.107,1.28298,0.89811,1.25955,0.87006,0.81072,0.90383,0.55694,1.35079,0.73876,1.34106,0.000618586,0.000618586,0.000618586
15,1061.8,1.27552,0.88038,1.25436,0.89223,0.81719,0.91568,0.56728,1.34454,0.71839,1.33195,0.000602092,0.000602092,0.000602092
16,1131.72,1.27762,0.87029,1.25014,0.88193,0.81519,0.90133,0.55407,1.35628,0.76012,1.34164,0.000585599,0.000585599,0.000585599
17,1202.01,1.26912,0.87607,1.25171,0.87936,0.82815,0.91785,0.56337,1.35807,0.7049,1.33992,0.000569106,0.000569106,0.000569106
18,1271.79,1.26193,0.84432,1.24873,0.88821,0.83579,0.91645,0.56754,1.35111,0.69967,1.33422,0.000552612,0.000552612,0.000552612
19,1341.7,1.26259,0.84845,1.24612,0.85268,0.81826,0.90176,0.55924,1.34357,0.74152,1.33901,0.000536119,0.000536119,0.000536119
20,1411.25,1.27352,0.83761,1.24899,0.89888,0.82997,0.92177,0.57193,1.34092,0.69266,1.33565,0.000519625,0.000519625,0.000519625
21,1481.23,1.26582,0.83989,1.25047,0.90584,0.83305,0.92334,0.57208,1.33542,0.69041,1.32612,0.000503132,0.000503132,0.000503132
22,1550.99,1.2461,0.81652,1.24445,0.89153,0.80461,0.91534,0.57077,1.33007,0.70379,1.33365,0.000486639,0.000486639,0.000486639
23,1620.7,1.24976,0.80889,1.24414,0.90458,0.85336,0.92989,0.5809,1.3368,0.66067,1.33314,0.000470145,0.000470145,0.000470145
24,1690.21,1.23856,0.79203,1.23261,0.89038,0.77865,0.88896,0.55581,1.34061,0.76747,1.33826,0.000453652,0.000453652,0.000453652
25,1759.83,1.24867,0.79574,1.2382,0.88846,0.85093,0.92628,0.57748,1.32603,0.66679,1.31961,0.000437158,0.000437158,0.000437158
26,1829.48,1.24341,0.79638,1.24365,0.88608,0.83119,0.91535,0.57006,1.32247,0.68485,1.32682,0.000420665,0.000420665,0.000420665
27,1899.21,1.2453,0.77428,1.24174,0.88463,0.8545,0.92509,0.57037,1.35206,0.66316,1.33966,0.000404172,0.000404172,0.000404172
28,1968.84,1.23644,0.78914,1.23435,0.90315,0.8621,0.936,0.58234,1.33072,0.64596,1.32042,0.000387678,0.000387678,0.000387678
29,2038.39,1.2333,0.77057,1.2301,0.91146,0.8476,0.9316,0.58019,1.32608,0.65937,1.33391,0.000371185,0.000371185,0.000371185
