epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9087,1.23807,2.67903,1.42085,0.81449,0.56189,0.74132,0.47146,1.00627,0.8529,1.2464,0.000253353,0.000253353,0.000253353
2,31.1088,1.08011,1.1958,1.31453,0.91714,0.82443,0.91192,0.58357,0.91759,0.80158,1.19117,0.000499594,0.000499594,0.000499594
3,43.9689,1.03915,1.01097,1.27689,0.89421,0.84959,0.92225,0.58581,0.90119,0.75303,1.18013,0.000735685,0.000735685,0.000735685
4,56.6707,1.02578,0.9484,1.26351,0.88559,0.84887,0.92582,0.59073,0.90402,0.71334,1.17048,0.000723321,0.000723321,0.000723321
5,69.2896,1.01539,0.91223,1.2599,0.88692,0.85733,0.92729,0.59207,0.87943,0.68758,1.15378,0.000708095,0.000708095,0.000708095
6,82.0884,0.99659,0.88178,1.24453,0.90422,0.82674,0.9267,0.59253,0.86747,0.64753,1.15329,0.000692869,0.000692869,0.000692869
7,94.7617,0.99347,0.85856,1.24922,0.89286,0.86318,0.93064,0.59455,0.89309,0.63574,1.15377,0.000677643,0.000677643,0.000677643
8,107.382,0.98723,0.84726,1.23711,0.89067,0.85432,0.92906,0.58582,0.88493,0.65555,1.15813,0.000662417,0.000662417,0.000662417
9,119.991,0.9825,0.83206,1.23558,0.8728,0.85442,0.92203,0.59273,0.87018,0.62642,1.14675,0.00064719,0.00064719,0.00064719
10,132.576,0.97873,0.82258,1.22913,0.87153,0.86597,0.92468,0.59353,0.8732,0.63912,1.15275,0.000631964,0.000631964,0.000631964
11,145.151,0.97711,0.82018,1.22049,0.87107,0.8583,0.92263,0.58757,0.86258,0.61069,1.14787,0.000616738,0.000616738,0.000616738
12,157.803,0.97384,0.80453,1.23315,0.87583,0.85242,0.92335,0.58975,0.86085,0.5749,1.14332,0.000601512,0.000601512,0.000601512
13,170.483,0.96409,0.79899,1.21736,0.9117,0.85028,0.93436,0.59133,0.86845,0.60259,1.14701,0.000586286,0.000586286,0.000586286
14,183.145,0.9632,0.79716,1.21762,0.88965,0.83256,0.92311,0.59042,0.86095,0.58016,1.14188,0.000571059,0.000571059,0.000571059
15,195.82,0.96551,0.79077,1.22342,0.90881,0.84369,0.92696,0.59042,0.8501,0.57042,1.14096,0.000555833,0.000555833,0.000555833
16,208.44,0.95732,0.7868,1.21701,0.8823,0.84669,0.91886,0.59289,0.86443,0.58054,1.14146,0.000540607,0.000540607,0.000540607
17,221.119,0.9564,0.78698,1.21025,0.88911,0.83692,0.91985,0.59308,0.84741,0.5909,1.1347,0.000525381,0.000525381,0.000525381
18,233.686,0.95548,0.77879,1.22033,0.88183,0.83414,0.91856,0.59118,0.84608,0.57223,1.13634,0.000510155,0.000510155,0.000510155
19,246.311,0.95323,0.77041,1.21662,0.87371,0.85226,0.91827,0.59168,0.85238,0.57593,1.13926,0.000494928,0.000494928,0.000494928
20,258.906,0.95373,0.77631,1.20676,0.86749,0.86481,0.92384,0.58746,0.86135,0.59301,1.14664,0.000479702,0.000479702,0.000479702
21,271.574,0.95223,0.76679,1.21766,0.86996,0.86326,0.92526,0.59406,0.85058,0.57847,1.13776,0.000464476,0.000464476,0.000464476
22,284.198,0.94504,0.76528,1.19172,0.87933,0.84554,0.91838,0.58561,0.85332,0.59098,1.13875,0.00044925,0.00044925,0.00044925
23,296.854,0.94426,0.76758,1.20299,0.87695,0.86279,0.92462,0.59043,0.857,0.56444,1.13968,0.000434024,0.000434024,0.000434024
24,309.494,0.94712,0.76586,1.21228,0.87795,0.85154,0.92223,0.59372,0.84856,0.56292,1.13975,0.000418797,0.000418797,0.000418797
25,322.089,0.94468,0.76509,1.19832,0.88069,0.84543,0.92214,0.58704,0.85507,0.57583,1.13723,0.000403571,0.000403571,0.000403571
26,334.737,0.94469,0.76137,1.21089,0.89432,0.85664,0.92245,0.59465,0.83599,0.57743,1.13267,0.000388345,0.000388345,0.000388345
27,347.448,0.94459,0.75533,1.20513,0.88639,0.84736,0.92753,0.59386,0.84405,0.58042,1.13206,0.000373119,0.000373119,0.000373119
28,360.131,0.93139,0.75992,1.18827,0.88888,0.84224,0.92339,0.59181,0.8397,0.57481,1.13307,0.000357893,0.000357893,0.000357893
29,372.739,0.92998,0.75203,1.19834,0.89955,0.83016,0.92187,0.58759,0.84074,0.55931,1.12991,0.000342666,0.000342666,0.000342666
30,385.273,0.93342,0.75364,1.19237,0.88759,0.83728,0.92108,0.58753,0.84537,0.56098,1.13002,0.00032744,0.00032744,0.00032744
31,397.854,0.92944,0.7475,1.19556,0.89336,0.84351,0.92083,0.58597,0.85619,0.5802,1.13853,0.000312214,0.000312214,0.000312214
32,410.42,0.93367,0.74731,1.1999,0.87768,0.84975,0.92263,0.58875,0.85383,0.57344,1.13361,0.000296988,0.000296988,0.000296988
33,423.054,0.92844,0.75283,1.19177,0.89595,0.84679,0.92356,0.59061,0.84415,0.55573,1.13359,0.000281762,0.000281762,0.000281762
34,435.704,0.9288,0.74343,1.19085,0.87533,0.87154,0.92919,0.59248,0.84238,0.54586,1.1306,0.000266535,0.000266535,0.000266535
35,448.356,0.93293,0.74624,1.19984,0.88568,0.85311,0.92047,0.58836,0.85308,0.56128,1.13548,0.000251309,0.000251309,0.000251309
36,461.003,0.93062,0.74942,1.19152,0.87612,0.84888,0.91683,0.58343,0.84297,0.54252,1.1339,0.000236083,0.000236083,0.000236083
37,473.633,0.92244,0.74095,1.19034,0.87689,0.84813,0.91718,0.58364,0.86588,0.54323,1.13838,0.000220857,0.000220857,0.000220857
38,486.233,0.9227,0.74021,1.19643,0.88556,0.8456,0.91743,0.58381,0.85072,0.54855,1.13449,0.000205631,0.000205631,0.000205631
39,498.931,0.92467,0.74286,1.19461,0.88845,0.85308,0.91925,0.58237,0.85196,0.55697,1.13166,0.000190404,0.000190404,0.000190404
40,511.585,0.92088,0.73951,1.19002,0.87044,0.84558,0.91631,0.58603,0.84856,0.54736,1.13561,0.000175178,0.000175178,0.000175178
41,548.526,0.91775,0.73987,1.1845,0.87058,0.85393,0.92058,0.58812,0.85027,0.57061,1.13642,0.000159952,0.000159952,0.000159952
42,561.284,0.91881,0.7402,1.18822,0.85997,0.85315,0.91492,0.58354,0.84818,0.56043,1.13153,0.000144726,0.000144726,0.000144726
43,573.827,0.9152,0.73575,1.18071,0.86395,0.84732,0.9138,0.58272,0.84321,0.54714,1.1297,0.0001295,0.0001295,0.0001295
