epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.59995,1.85226,3.97565,1.57758,0.00381,0.55556,0.02985,0.01313,1.94384,3.51582,1.44283,5.001e-05,5.001e-05,5.001e-05
2,5.0697,1.94894,3.96976,1.61232,0.00508,0.77778,0.31024,0.19143,1.68805,3.451,1.30098,0.00011438,0.00011438,0.00011438
3,6.92046,1.71662,3.37146,1.42266,0.00672,1,0.46496,0.27546,1.62054,3.30383,1.18353,0.000176109,0.000176109,0.000176109
4,8.8733,1.74883,2.70692,1.31735,0.00667,1,0.41054,0.24826,1.61657,3.16956,1.19578,0.000235197,0.000235197,0.000235197
5,10.7645,1.65301,2.34575,1.24978,0.00667,1,0.46947,0.27913,1.56134,3.21257,1.20836,0.000291645,0.000291645,0.000291645
6,12.5106,1.60174,2.0804,1.24058,0.00667,1,0.46108,0.24209,1.56456,3.20784,1.24077,0.000345452,0.000345452,0.000345452
7,14.2936,1.56559,2.10026,1.2681,0.00668,1,0.31617,0.16358,1.55818,3.19302,1.21135,0.000396619,0.000396619,0.000396619
8,15.9694,1.52221,1.92955,1.26301,0.00678,1,0.28647,0.13988,1.48762,3.24885,1.25783,0.000445146,0.000445146,0.000445146
9,17.6598,1.54774,1.84689,1.25725,0.00689,1,0.22734,0.10217,1.50326,3.25109,1.26195,0.000491032,0.000491032,0.000491032
10,19.2874,1.45261,1.71195,1.20493,0.00683,0.94444,0.28398,0.12445,1.45091,3.2537,1.21242,0.000534277,0.000534277,0.000534277
11,20.9112,1.48754,1.70341,1.2467,0.00715,1,0.27508,0.11379,1.56488,3.34107,1.28864,0.000574882,0.000574882,0.000574882
12,22.4725,1.31401,1.63855,1.19151,0.00633,0.94444,0.33418,0.19372,1.67855,3.28264,1.44299,0.000612846,0.000612846,0.000612846
13,24.1014,1.46145,1.55722,1.25469,0.00556,0.83333,0.32656,0.20691,1.76229,3.33108,1.54606,0.00064817,0.00064817,0.00064817
14,25.6833,1.4656,1.43659,1.23542,0.0052,0.77778,0.38413,0.21497,1.70479,3.35361,1.51467,0.000680853,0.000680853,0.000680853
15,27.239,1.44176,1.47188,1.21812,0.00597,0.88889,0.41165,0.26706,1.51001,3.20949,1.40442,0.000710895,0.000710895,0.000710895
16,28.8074,1.33358,1.35812,1.17545,1,0.25959,0.66332,0.39615,1.58101,3.02693,1.40223,0.000738298,0.000738298,0.000738298
17,30.3221,1.42098,1.37499,1.21151,1,0.25386,0.66749,0.37038,1.61537,2.86516,1.41895,0.000763059,0.000763059,0.000763059
18,31.9391,1.33417,1.1933,1.15737,1,0.54469,0.57346,0.30929,1.71351,2.6255,1.5443,0.00078518,0.00078518,0.00078518
19,33.572,1.36007,1.25805,1.15156,1,0.51164,0.70397,0.35298,1.8174,2.51711,1.47556,0.000804661,0.000804661,0.000804661
20,35.0657,1.31043,1.34352,1.15019,0.95365,0.51248,0.72223,0.35449,1.76812,2.51553,1.49824,0.000821501,0.000821501,0.000821501
21,36.6424,1.31549,1.21522,1.12037,0.90488,0.54875,0.71834,0.41533,1.80721,2.35457,1.59076,0.0008357,0.0008357,0.0008357
22,38.1137,1.24486,1.24526,1.14866,0.93259,0.72463,0.7597,0.42652,1.79759,2.13685,1.59613,0.000847259,0.000847259,0.000847259
23,39.5751,1.24507,1.20124,1.16626,0.93179,0.75202,0.75183,0.39551,1.92375,2.02191,1.63878,0.000856178,0.000856178,0.000856178
24,41.0953,1.2789,1.17181,1.12801,0.85568,0.66667,0.69883,0.37175,1.89105,1.94595,1.61815,0.000862456,0.000862456,0.000862456
25,42.7472,1.18125,1.17335,1.07912,0.85492,0.66667,0.71062,0.36564,1.88914,2.01714,1.61326,0.000866093,0.000866093,0.000866093
26,44.3036,1.20099,1.07664,1.08121,0.87593,0.72222,0.78232,0.38619,1.84854,1.91437,1.56719,0.000841835,0.000841835,0.000841835
27,45.8335,1.22124,1.10982,1.10045,0.87266,0.71987,0.75681,0.41523,1.82893,1.88272,1.55273,0.000808828,0.000808828,0.000808828
28,47.351,1.15197,1.09406,1.08487,0.86737,0.73033,0.76239,0.43662,1.89595,1.75331,1.6062,0.000775822,0.000775822,0.000775822
29,48.8662,1.17966,1.10725,1.04915,0.81122,0.70992,0.74914,0.43386,1.85413,1.6324,1.58581,0.000742815,0.000742815,0.000742815
30,50.3789,1.19855,1.03547,1.08778,0.83426,0.77146,0.80331,0.42083,1.85174,1.62829,1.59556,0.000709809,0.000709809,0.000709809
31,51.8697,1.15779,1.00225,1.06874,0.896,0.8722,0.86435,0.40078,1.91883,1.57172,1.61356,0.000676802,0.000676802,0.000676802
32,53.3997,1.13372,1.01143,1.10918,0.86474,0.88652,0.85667,0.39935,1.91857,1.53197,1.63516,0.000643795,0.000643795,0.000643795
33,54.9062,1.10337,1.04034,1.09512,0.92087,0.77778,0.83222,0.43268,1.75571,1.44042,1.54564,0.000610789,0.000610789,0.000610789
34,56.339,1.1388,1.01872,1.07799,0.91265,0.76731,0.82729,0.42068,1.75475,1.34136,1.53727,0.000577782,0.000577782,0.000577782
35,57.8312,1.118,0.95352,1.06565,0.91728,0.74887,0.79105,0.41226,1.89566,1.32777,1.57552,0.000544776,0.000544776,0.000544776
36,59.3404,1.16805,0.99122,1.05709,0.93644,0.88147,0.86702,0.42963,1.93612,1.3282,1.56439,0.000511769,0.000511769,0.000511769
37,60.8671,1.11019,1.01233,1.09307,0.81282,0.88889,0.84869,0.39332,1.98506,1.26917,1.57152,0.000478762,0.000478762,0.000478762
38,62.2918,1.12109,0.96771,1.0769,0.93565,0.87409,0.85498,0.39462,1.9012,1.19692,1.50643,0.000445756,0.000445756,0.000445756
39,63.8562,1.0344,0.96068,1.06513,0.93085,0.87207,0.86078,0.39083,1.88514,1.19303,1.49668,0.000412749,0.000412749,0.000412749
40,65.3991,1.02563,0.89691,1.0366,0.89059,0.84391,0.85518,0.4097,1.89306,1.17287,1.49936,0.000379743,0.000379743,0.000379743
41,66.7755,0.97403,1.05189,1.00749,0.92083,0.77389,0.7615,0.40402,1.98306,1.235,1.58175,0.000346736,0.000346736,0.000346736
42,68.1111,0.93891,0.99415,1.0287,0.8114,0.77778,0.78809,0.41847,1.95657,1.21106,1.56959,0.000313729,0.000313729,0.000313729
43,69.4345,0.95651,0.96449,0.97847,0.76425,0.82445,0.8348,0.44078,1.94272,1.25877,1.56215,0.000280723,0.000280723,0.000280723
44,70.7571,0.9709,0.98642,1.03642,0.7278,0.7675,0.76363,0.44074,1.91983,1.30074,1.54091,0.000247716,0.000247716,0.000247716
45,72.0582,0.93945,0.92868,1.00689,0.73048,0.81031,0.76717,0.44592,1.89807,1.3145,1.53701,0.00021471,0.00021471,0.00021471
46,73.3931,0.93604,0.991,0.99748,0.8961,0.71668,0.79869,0.47112,1.88013,1.2685,1.52273,0.000181703,0.000181703,0.000181703
47,74.8173,0.94489,0.97986,1.01032,0.89523,0.695,0.83828,0.47068,1.82906,1.18568,1.4797,0.000148696,0.000148696,0.000148696
48,76.2024,0.89053,0.97626,1.00256,0.90621,0.8281,0.91234,0.49341,1.81122,1.13376,1.4723,0.00011569,0.00011569,0.00011569
49,77.5317,0.91989,0.93023,0.98625,0.83133,0.82031,0.84653,0.47892,1.79339,1.11266,1.46522,8.26832e-05,8.26832e-05,8.26832e-05
50,78.8587,0.83016,0.90457,0.92874,0.83306,0.81732,0.84203,0.47061,1.78682,1.10959,1.46379,4.96766e-05,4.96766e-05,4.96766e-05
